sklep;adres;godziny;lat;lon;wspolrzedne;map_link;odleglosc_od_hotelu;zrodlo
Welbee's Paceville (Pendergardens);Triq Gort, St Julian's STJ 1901;pon–nd 7:30–22:00;35.922162;14.487596;"35.922162, 14.487596";https://www.google.com/maps?q=35.922162,14.487596;~370 m;OSM+Nominatim
PAVI-PAMA — St George's Mall;Ix-Xatt ta' San Ġorġ, St Julian's STJ 3300;pon–czw 7:00–20:00, pt–nd 7:00–22:00;35.927599;14.488042;"35.927599, 14.488042";https://www.google.com/maps?q=35.927599,14.488042;~450 m;OSM+Nominatim
Welbee's Spinola;Triq Mikielanġ Borg, St Julian's SPK 1000;pon–sob 7:30–21:00, nd 7:30–19:30;35.917343;14.489226;"35.917343, 14.489226";https://www.google.com/maps?q=35.917343,14.489226;~790 m;OSM+Nominatim
Welbee's Balluta;Triq Ġorġ Borg Olivier, St Julian's STJ 1083;pon–sob 7:30–21:00, nd 7:30–19:30;35.916989;14.493236;"35.916989, 14.493236";https://www.google.com/maps?q=35.916989,14.493236;~840 m;OSM
Lidl Sliema;Triq Amery, Sliema SLM 1708;codziennie 7:00–22:00;35.912380;14.504750;"35.912380, 14.504750";https://www.google.com/maps?q=35.912380,14.504750;~1,8 km;lidl.com.mt
Lidl San Ġwann;Triq iċ-Ċiklamini, San Ġwann SGN 1331;codziennie 7:00–22:00;35.909160;14.477440;"35.909160, 14.477440";https://www.google.com/maps?q=35.909160,14.477440;~2,1 km;lidl.com.mt
Lidl Luqa (przy lotnisku);Triq il-Karmnu, Luqa LQA 1311;codziennie 7:00–22:00;35.860800;14.484940;"35.860800, 14.484940";https://www.google.com/maps?q=35.860800,14.484940;0,9–1,2 km od terminala;lidl.com.mt
Lidl Mosta;Triq id-Difiża Ċivili, Mosta MST 1743;codziennie 7:00–22:00;35.918030;14.420780;"35.918030, 14.420780";https://www.google.com/maps?q=35.918030,14.420780;~11 km;lidl.com.mt
Eurospin Mosta;Triq id-Difiża Ċivili, Mosta MST 1743;7:00–22:00;35.918406;14.422436;"35.918406, 14.422436";https://www.google.com/maps?q=35.918406,14.422436;~11 km;OSM+Nominatim
Greens Swieqi;Triq l-Uqija, Swieqi SWQ 2333;codziennie 7:00–24:00;35.922782;14.474778;"35.922782, 14.474778";https://www.google.com/maps?q=35.922782,14.474778;~1,45 km;OSM+Nominatim
Savemart;Tal-Balal Road, San Ġwann SGN 9020;pon–sob 8:00–19:30 (pt do 20:30), nd 9:00–19:30;35.910967;14.469401;"35.910967, 14.469401";https://www.google.com/maps?q=35.910967,14.469401;~2,4 km;OSM+Nominatim
PolMalta Polish Shop;3A Lapsi Street, St Julian's STJ 1011;pon–sob 11:00–19:00;35.918307;14.490414;"35.918307, 14.490414";https://www.google.com/maps?q=35.918307,14.490414;~670 m;OSM+Nominatim
Little Greens (convenience);Triq San Ġorġ 123, St Julian's;24/7;35.923101;14.489810;"35.923101, 14.489810";https://www.google.com/maps?q=35.923101,14.489810;~160 m;OSM
Spar Express (convenience);Triq San Ġorġ 110, St Julian's STJ 3123;24/7;35.922275;14.490153;"35.922275, 14.490153";https://www.google.com/maps?q=35.922275,14.490153;~230 m;OSM+Nominatim
MyConvenience (convenience);Paceville, St Julian's;6:00–24:00;35.923385;14.488873;"35.923385, 14.488873";https://www.google.com/maps?q=35.923385,14.488873;~200 m;OSM
Daves (convenience);Triq is-Sidra, Swieqi;24/7;35.920203;14.482025;"35.920203, 14.482025";https://www.google.com/maps?q=35.920203,14.482025;~910 m;OSM
